Model,MAE,RMSE,R²,MAPE,Train_MAE,Train_R²,Region
Simple_XGBoost,8.334952354431152,10.56453418894532,0.2721632719039917,20.50807308811971,9.834770202636719,0.5912774205207825,HSE Mid West
Optimized_XGBoost,8.356313705444336,10.644606149392452,0.26108843088150024,21.52471519025947,9.867228507995605,0.5905364751815796,HSE Mid West
LightGBM,8.360644804126343,10.304303496020605,0.3075784555358547,20.280688013432034,9.975899359343293,0.5819924898845972,HSE Mid West
SARIMA,9.01831481529002,11.562955658058591,0.12809130325580975,23.350519600298885,20.575295737304305,-0.745014406600355,HSE Mid West
Baseline_MA_14,9.97358943577431,12.527999852814688,-0.023521025059129563,26.02843269077487,15.751513317191284,-0.0744194194062,HSE Mid West
Prophet,11.49518455793579,14.399290622045541,-0.3521207682284353,29.741789328789555,29.5106917690721,-2.224435240031766,HSE Mid West
Ensemble,7.364138285899034,8.954911806464185,0.06736275529678659,165.12044896863847,6.064615841424276,0.5582949930317649,HSE South West
Optimized_XGBoost,7.853957176208496,9.843389982875841,-0.1268848180770874,166.31531612247855,5.38747501373291,0.6373211145401001,HSE South West
Simple_XGBoost,8.142671585083008,10.129157449039946,-0.19326460361480713,174.329441585639,5.39984655380249,0.6348925828933716,HSE South West
LightGBM,8.154502308344055,10.049841953175651,-0.17465029707890123,178.98521929865288,5.4833057339307985,0.6241178832904106,HSE South West
Baseline_MA_14,8.580357142857142,10.322163839357065,-0.23917209585311672,216.05715414079492,9.353236607142858,-0.0008585369079330274,HSE South West
SARIMA,9.051287714939658,10.745151585233108,-0.34281202620570883,229.74761674113674,10.22535257639954,-0.08732437807987337,HSE South West
Prophet,12.224289842047428,13.87823407072419,-1.2400542950476043,316.42647551272853,15.68358228825249,-1.2480345456350306,HSE South West
Ensemble,6.35327443896864,8.056786153902209,0.261351658814018,94.80697605112762,4.646731225278355,0.5298594867943367,HSE West & North West
LightGBM,6.492592483757598,8.117070074586048,0.25025661244223085,99.47637024526608,4.264479203532852,0.600081859440875,HSE West & North West
Simple_XGBoost,6.80109167098999,8.510746165464504,0.17576825618743896,108.46539315747725,4.1467061042785645,0.6210875511169434,HSE West & North West
Optimized_XGBoost,6.830227375030518,8.506745747086038,0.1765429973602295,107.30485708965443,4.129089832305908,0.6269646883010864,HSE West & North West
Prophet,7.818961846215764,9.487272608441215,-0.02422839870355209,138.67647355212264,8.484458644596463,-0.16850445974735218,HSE West & North West
SARIMA,8.844130593548812,10.490546066392957,-0.25230537336145775,197.1279645522809,7.965150044584006,-0.04713249760378835,HSE West & North West
Baseline_MA_14,9.57591623036649,11.341548826276881,-0.4637226297166568,217.64214505853445,10.052385114885112,-0.5225560994484286,HSE West & North West
